1101,11,POLRES SIMEULUE
1102,11,POLRES ACEH SINGKIL
1103,11,POLRES ACEH SELATAN
1104,11,POLRES ACEH TENGGARA
1105,11,POLRES ACEH TIMUR
1106,11,POLRES ACEH TENGAH
1107,11,POLRES ACEH BARAT
1108,11,POLRES ACEH BESAR
1109,11,POLRES PIDIE
1110,11,POLRES BIREUEN
1111,11,POLRES ACEH UTARA
1112,11,POLRES ACEH BARAT DAYA
1113,11,POLRES GAYO LUES
1114,11,POLRES ACEH TAMIANG
1115,11,POLRES NAGAN RAYA
1116,11,POLRES ACEH JAYA
1117,11,POLRES BENER MERIAH
1118,11,POLRES PIDIE JAYA
1171,11,POLRES BANDA ACEH
1172,11,POLRES SABANG
1173,11,POLRES LANGSA
1174,11,POLRES LHOKSEUMAWE
1175,11,POLRES SUBULUSSALAM
1201,12,POLRES NIAS
1202,12,POLRES MANDAILING NATAL
1203,12,POLRES TAPANULI SELATAN
1204,12,POLRES TAPANULI TENGAH
1205,12,POLRES TAPANULI UTARA
1206,12,POLRES TOBA SAMOSIR
1207,12,POLRES LABUHAN BATU
1208,12,POLRES ASAHAN
1209,12,POLRES SIMALUNGUN
1210,12,POLRES DAIRI
1211,12,POLRES KARO
1212,12,POLRES DELI SERDANG
1213,12,POLRES LANGKAT
1214,12,POLRES NIAS SELATAN
1215,12,POLRES HUMBANG HASUNDUTAN
1216,12,POLRES PAKPAK BHARAT
1217,12,POLRES SAMOSIR
1218,12,POLRES SERDANG BEDAGAI
1219,12,POLRES BATU BARA
1220,12,POLRES PADANG LAWAS UTARA
1221,12,POLRES PADANG LAWAS
1222,12,POLRES LABUHAN BATU SELATAN
1223,12,POLRES LABUHAN BATU UTARA
1224,12,POLRES NIAS UTARA
1225,12,POLRES NIAS BARAT
1271,12,POLRES SIBOLGA
1272,12,POLRES TANJUNG BALAI
1273,12,POLRES PEMATANG SIANTAR
1274,12,POLRES TEBING TINGGI
1275,12,POLRES MEDAN
1276,12,POLRES BINJAI
1277,12,POLRES PADANGSIDIMPUAN
1278,12,POLRES GUNUNGSITOLI
1301,13,POLRES KEPULAUAN MENTAWAI
1302,13,POLRES PESISIR SELATAN
1303,13,POLRES SOLOK
1304,13,POLRES SIJUNJUNG
1305,13,POLRES TANAH DATAR
1306,13,POLRES PADANG PARIAMAN
1307,13,POLRES AGAM
1308,13,POLRES LIMA PULUH POLRES
1309,13,POLRES PASAMAN
1310,13,POLRES SOLOK SELATAN
1311,13,POLRES DHARMASRAYA
1312,13,POLRES PASAMAN BARAT
1371,13,POLRES PADANG
1372,13,POLRES SOLOK
1373,13,POLRES SAWAH LUNTO
1374,13,POLRES PADANG PANJANG
1375,13,POLRES BUKITTINGGI
1376,13,POLRES PAYAKUMBUH
1377,13,POLRES PARIAMAN
1401,14,POLRES KUANTAN SINGINGI
1402,14,POLRES INDRAGIRI HULU
1403,14,POLRES INDRAGIRI HILIR
1404,14,POLRES PELALAWAN
1405,14,POLRES S I A K
1406,14,POLRES KAMPAR
1407,14,POLRES ROKAN HULU
1408,14,POLRES BENGKALIS
1409,14,POLRES ROKAN HILIR
1410,14,POLRES KEPULAUAN MERANTI
1471,14,POLRES PEKANBARU
1473,14,POLRES D U M A I
1501,15,POLRES KERINCI
1502,15,POLRES MERANGIN
1503,15,POLRES SAROLANGUN
1504,15,POLRES BATANG HARI
1505,15,POLRES MUARO JAMBI
1506,15,POLRES TANJUNG JABUNG TIMUR
1507,15,POLRES TANJUNG JABUNG BARAT
1508,15,POLRES TEBO
1509,15,POLRES BUNGO
1571,15,POLRES JAMBI
1572,15,POLRES SUNGAI PENUH
1601,16,POLRES OGAN KOMERING ULU
1602,16,POLRES OGAN KOMERING ILIR
1603,16,POLRES MUARA ENIM
1604,16,POLRES LAHAT
1605,16,POLRES MUSI RAWAS
1606,16,POLRES MUSI BANYUASIN
1607,16,POLRES BANYU ASIN
1608,16,POLRES OGAN KOMERING ULU SELATAN
1609,16,POLRES OGAN KOMERING ULU TIMUR
1610,16,POLRES OGAN ILIR
1611,16,POLRES EMPAT LAWANG
1612,16,POLRES PENUKAL ABAB LEMATANG ILIR
1613,16,POLRES MUSI RAWAS UTARA
1671,16,POLRES PALEMBANG
1672,16,POLRES PRABUMULIH
1673,16,POLRES PAGAR ALAM
1674,16,POLRES LUBUKLINGGAU
1701,17,POLRES BENGKULU SELATAN
1702,17,POLRES REJANG LEBONG
1703,17,POLRES BENGKULU UTARA
1704,17,POLRES KAUR
1705,17,POLRES SELUMA
1706,17,POLRES MUKOMUKO
1707,17,POLRES LEBONG
1708,17,POLRES KEPAHIANG
1709,17,POLRES BENGKULU TENGAH
1771,17,POLRES BENGKULU
1801,18,POLRES LAMPUNG BARAT
1802,18,POLRES TANGGAMUS
1803,18,POLRES LAMPUNG SELATAN
1804,18,POLRES LAMPUNG TIMUR
1805,18,POLRES LAMPUNG TENGAH
1806,18,POLRES LAMPUNG UTARA
1807,18,POLRES WAY KANAN
1808,18,POLRES TULANGBAWANG
1809,18,POLRES PESAWARAN
1810,18,POLRES PRINGSEWU
1811,18,POLRES MESUJI
1812,18,POLRES TULANG BAWANG BARAT
1813,18,POLRES PESISIR BARAT
1871,18,POLRES BANDAR LAMPUNG
1872,18,POLRES METRO
1901,19,POLRES BANGKA
1902,19,POLRES BELITUNG
1903,19,POLRES BANGKA BARAT
1904,19,POLRES BANGKA TENGAH
1905,19,POLRES BANGKA SELATAN
1906,19,POLRES BELITUNG TIMUR
1971,19,POLRES PANGKAL PINANG
2101,21,POLRES KARIMUN
2102,21,POLRES BINTAN
2103,21,POLRES NATUNA
2104,21,POLRES LINGGA
2105,21,POLRES KEPULAUAN ANAMBAS
2171,21,POLRES B A T A M
2172,21,POLRES TANJUNG PINANG
3101,31,POLRES KEPULAUAN SERIBU
3171,31,POLRES JAKARTA SELATAN
3172,31,POLRES JAKARTA TIMUR
3173,31,POLRES JAKARTA PUSAT
3174,31,POLRES JAKARTA BARAT
3175,31,POLRES JAKARTA UTARA
3176,31,POLRES PELABUHAN TANJUNG PRIOK
3177,31,POLRES BANDARA SOEKARNO-HATTA
3201,32,POLRES BOGOR
3202,32,POLRES SUKABUMI
3203,32,POLRES CIANJUR
3204,32,POLRES BANDUNG
3205,32,POLRES GARUT
3206,32,POLRES TASIKMALAYA
3207,32,POLRES CIAMIS
3208,32,POLRES KUNINGAN
3209,32,POLRES CIREBON
3210,32,POLRES MAJALENGKA
3211,32,POLRES SUMEDANG
3212,32,POLRES INDRAMAYU
3213,32,POLRES SUBANG
3214,32,POLRES PURWAKARTA
3215,32,POLRES KARAWANG
3216,32,POLRES BEKASI
3217,32,POLRES BANDUNG BARAT
3218,32,POLRES PANGANDARAN
3271,32,POLRES BOGOR
3272,32,POLRES SUKABUMI
3273,32,POLRES BANDUNG
3274,32,POLRES CIREBON
3275,32,POLRES BEKASI
3276,32,POLRES DEPOK
3277,32,POLRES CIMAHI
3278,32,POLRES TASIKMALAYA
3279,32,POLRES BANJAR
3301,33,POLRES CILACAP
3302,33,POLRES BANYUMAS
3303,33,POLRES PURBALINGGA
3304,33,POLRES BANJARNEGARA
3305,33,POLRES KEBUMEN
3306,33,POLRES PURWOREJO
3307,33,POLRES WONOSOBO
3308,33,POLRES MAGELANG
3309,33,POLRES BOYOLALI
3310,33,POLRES KLATEN
3311,33,POLRES SUKOHARJO
3312,33,POLRES WONOGIRI
3313,33,POLRES KARANGANYAR
3314,33,POLRES SRAGEN
3315,33,POLRES GROBOGAN
3316,33,POLRES BLORA
3317,33,POLRES REMBANG
3318,33,POLRES PATI
3319,33,POLRES KUDUS
3320,33,POLRES JEPARA
3321,33,POLRES DEMAK
3322,33,POLRES SEMARANG
3323,33,POLRES TEMANGGUNG
3324,33,POLRES KENDAL
3325,33,POLRES BATANG
3326,33,POLRES PEKALONGAN
3327,33,POLRES PEMALANG
3328,33,POLRES TEGAL
3329,33,POLRES BREBES
3371,33,POLRES MAGELANG
3372,33,POLRES SURAKARTA
3373,33,POLRES SALATIGA
3374,33,POLRES SEMARANG
3375,33,POLRES PEKALONGAN
3376,33,POLRES TEGAL
3401,34,POLRES KULON PROGO
3402,34,POLRES BANTUL
3403,34,POLRES GUNUNG KIDUL
3404,34,POLRES SLEMAN
3471,34,POLRES YOGYAKARTA
3501,35,POLRES PACITAN
3502,35,POLRES PONOROGO
3503,35,POLRES TRENGGALEK
3504,35,POLRES TULUNGAGUNG
3505,35,POLRES BLITAR
3506,35,POLRES KEDIRI
3507,35,POLRES MALANG
3508,35,POLRES LUMAJANG
3509,35,POLRES JEMBER
3510,35,POLRES BANYUWANGI
3511,35,POLRES BONDOWOSO
3512,35,POLRES SITUBONDO
3513,35,POLRES PROBOLINGGO
3514,35,POLRES PASURUAN
3515,35,POLRES SIDOARJO
3516,35,POLRES MOJOKERTO
3517,35,POLRES JOMBANG
3518,35,POLRES NGANJUK
3519,35,POLRES MADIUN
3520,35,POLRES MAGETAN
3521,35,POLRES NGAWI
3522,35,POLRES BOJONEGORO
3523,35,POLRES TUBAN
3524,35,POLRES LAMONGAN
3525,35,POLRES GRESIK
3526,35,POLRES BANGKALAN
3527,35,POLRES SAMPANG
3528,35,POLRES PAMEKASAN
3529,35,POLRES SUMENEP
3571,35,POLRES KEDIRI
3572,35,POLRES BLITAR
3573,35,POLRES MALANG
3574,35,POLRES PROBOLINGGO
3575,35,POLRES PASURUAN
3576,35,POLRES MOJOKERTO
3577,35,POLRES MADIUN
3578,35,POLRES SURABAYA
3579,35,POLRES BATU
3601,36,POLRES PANDEGLANG
3602,36,POLRES LEBAK
3603,36,POLRES TANGERANG
3604,36,POLRES SERANG
3671,36,POLRES TANGERANG
3672,36,POLRES CILEGON
3673,36,POLRES SERANG
3674,36,POLRES TANGERANG SELATAN
5101,51,POLRES JEMBRANA
5102,51,POLRES TABANAN
5103,51,POLRES BADUNG
5104,51,POLRES GIANYAR
5105,51,POLRES KLUNGKUNG
5106,51,POLRES BANGLI
5107,51,POLRES KARANG ASEM
5108,51,POLRES BULELENG
5171,51,POLRES DENPASAR
5201,52,POLRES LOMBOK BARAT
5202,52,POLRES LOMBOK TENGAH
5203,52,POLRES LOMBOK TIMUR
5204,52,POLRES SUMBAWA
5205,52,POLRES DOMPU
5206,52,POLRES BIMA
5207,52,POLRES SUMBAWA BARAT
5208,52,POLRES LOMBOK UTARA
5271,52,POLRES MATARAM
5272,52,POLRES BIMA
5301,53,POLRES SUMBA BARAT
5302,53,POLRES SUMBA TIMUR
5303,53,POLRES KUPANG
5304,53,POLRES TIMOR TENGAH SELATAN
5305,53,POLRES TIMOR TENGAH UTARA
5306,53,POLRES BELU
5307,53,POLRES ALOR
5308,53,POLRES LEMBATA
5309,53,POLRES FLORES TIMUR
5310,53,POLRES SIKKA
5311,53,POLRES ENDE
5312,53,POLRES NGADA
5313,53,POLRES MANGGARAI
5314,53,POLRES ROTE NDAO
5315,53,POLRES MANGGARAI BARAT
5316,53,POLRES SUMBA TENGAH
5317,53,POLRES SUMBA BARAT DAYA
5318,53,POLRES NAGEKEO
5319,53,POLRES MANGGARAI TIMUR
5320,53,POLRES SABU RAIJUA
5321,53,POLRES MALAKA
5371,53,POLRES KUPANG
6101,61,POLRES SAMBAS
6102,61,POLRES BENGKAYANG
6103,61,POLRES LANDAK
6104,61,POLRES MEMPAWAH
6105,61,POLRES SANGGAU
6106,61,POLRES KETAPANG
6107,61,POLRES SINTANG
6108,61,POLRES KAPUAS HULU
6109,61,POLRES SEKADAU
6110,61,POLRES MELAWI
6111,61,POLRES KAYONG UTARA
6112,61,POLRES KUBU RAYA
6171,61,POLRES PONTIANAK
6172,61,POLRES SINGKAWANG
6201,62,POLRES POLRESWARINGIN BARAT
6202,62,POLRES POLRESWARINGIN TIMUR
6203,62,POLRES KAPUAS
6204,62,POLRES BARITO SELATAN
6205,62,POLRES BARITO UTARA
6206,62,POLRES SUKAMARA
6207,62,POLRES LAMANDAU
6208,62,POLRES SERUYAN
6209,62,POLRES KATINGAN
6210,62,POLRES PULANG PISAU
6211,62,POLRES GUNUNG MAS
6212,62,POLRES BARITO TIMUR
6213,62,POLRES MURUNG RAYA
6271,62,POLRES PALANGKA RAYA
6301,63,POLRES TANAH LAUT
6302,63,POLRES POLRES BARU
6303,63,POLRES BANJAR
6304,63,POLRES BARITO KUALA
6305,63,POLRES TAPIN
6306,63,POLRES HULU SUNGAI SELATAN
6307,63,POLRES HULU SUNGAI TENGAH
6308,63,POLRES HULU SUNGAI UTARA
6309,63,POLRES TABALONG
6310,63,POLRES TANAH BUMBU
6311,63,POLRES BALANGAN
6371,63,POLRES BANJARMASIN
6372,63,POLRES BANJAR BARU
6401,64,POLRES PASER
6402,64,POLRES KUTAI BARAT
6403,64,POLRES KUTAI KARTANEGARA
6404,64,POLRES KUTAI TIMUR
6405,64,POLRES BERAU
6409,64,POLRES PENAJAM PASER UTARA
6411,64,POLRES MAHAKAM HULU
6471,64,POLRES BALIKPAPAN
6472,64,POLRES SAMARINDA
6474,64,POLRES BONTANG
6501,65,POLRES MALINAU
6502,65,POLRES BULUNGAN
6503,65,POLRES TANA TIDUNG
6504,65,POLRES NUNUKAN
6571,65,POLRES TARAKAN
7101,71,POLRES BOLAANG MONGONDOW
7102,71,POLRES MINAHASA
7103,71,POLRES KEPULAUAN SANGIHE
7104,71,POLRES KEPULAUAN TALAUD
7105,71,POLRES MINAHASA SELATAN
7106,71,POLRES MINAHASA UTARA
7107,71,POLRES BOLAANG MONGONDOW UTARA
7108,71,POLRES SIAU TAGULANDANG BIARO
7109,71,POLRES MINAHASA TENGGARA
7110,71,POLRES BOLAANG MONGONDOW SELATAN
7111,71,POLRES BOLAANG MONGONDOW TIMUR
7171,71,POLRES MANADO
7172,71,POLRES BITUNG
7173,71,POLRES TOMOHON
7174,71,POLRES POLRESMOBAGU
7201,72,POLRES BANGGAI KEPULAUAN
7202,72,POLRES BANGGAI
7203,72,POLRES MOROWALI
7204,72,POLRES POSO
7205,72,POLRES DONGGALA
7206,72,POLRES TOLI-TOLI
7207,72,POLRES BUOL
7208,72,POLRES PARIGI MOUTONG
7209,72,POLRES TOJO UNA-UNA
7210,72,POLRES SIGI
7211,72,POLRES BANGGAI LAUT
7212,72,POLRES MOROWALI UTARA
7271,72,POLRES PALU
7301,73,POLRES KEPULAUAN SELAYAR
7302,73,POLRES BULUKUMBA
7303,73,POLRES BANTAENG
7304,73,POLRES JENEPONTO
7305,73,POLRES TAKALAR
7306,73,POLRES GOWA
7307,73,POLRES SINJAI
7308,73,POLRES MAROS
7309,73,POLRES PANGKAJENE DAN KEPULAUAN
7310,73,POLRES BARRU
7311,73,POLRES BONE
7312,73,POLRES SOPPENG
7313,73,POLRES WAJO
7314,73,POLRES SIDENRENG RAPPANG
7315,73,POLRES PINRANG
7316,73,POLRES ENREKANG
7317,73,POLRES LUWU
7318,73,POLRES TANA TORAJA
7322,73,POLRES LUWU UTARA
7325,73,POLRES LUWU TIMUR
7326,73,POLRES TORAJA UTARA
7371,73,POLRES MAKASSAR
7372,73,POLRES PAREPARE
7373,73,POLRES PALOPO
7401,74,POLRES BUTON
7402,74,POLRES MUNA
7403,74,POLRES KONAWE
7404,74,POLRES KOLAKA
7405,74,POLRES KONAWE SELATAN
7406,74,POLRES BOMBANA
7407,74,POLRES WAKATOBI
7408,74,POLRES KOLAKA UTARA
7409,74,POLRES BUTON UTARA
7410,74,POLRES KONAWE UTARA
7411,74,POLRES KOLAKA TIMUR
7412,74,POLRES KONAWE KEPULAUAN
7413,74,POLRES MUNA BARAT
7414,74,POLRES BUTON TENGAH
7415,74,POLRES BUTON SELATAN
7471,74,POLRES KENDARI
7472,74,POLRES BAUBAU
7501,75,POLRES BOALEMO
7502,75,POLRES GORONTALO
7503,75,POLRES POHUWATO
7504,75,POLRES BONE BOLANGO
7505,75,POLRES GORONTALO UTARA
7571,75,POLRES GORONTALO
7601,76,POLRES MAJENE
7602,76,POLRES POLEWALI MANDAR
7603,76,POLRES MAMASA
7604,76,POLRES MAMUJU
7605,76,POLRES MAMUJU UTARA
7606,76,POLRES MAMUJU TENGAH
8101,81,POLRES MALUKU TENGGARA BARAT
8102,81,POLRES MALUKU TENGGARA
8103,81,POLRES MALUKU TENGAH
8104,81,POLRES BURU
8105,81,POLRES KEPULAUAN ARU
8106,81,POLRES SERAM BAGIAN BARAT
8107,81,POLRES SERAM BAGIAN TIMUR
8108,81,POLRES MALUKU BARAT DAYA
8109,81,POLRES BURU SELATAN
8171,81,POLRES AMBON
8172,81,POLRES TUAL
8201,82,POLRES HALMAHERA BARAT
8202,82,POLRES HALMAHERA TENGAH
8203,82,POLRES KEPULAUAN SULA
8204,82,POLRES HALMAHERA SELATAN
8205,82,POLRES HALMAHERA UTARA
8206,82,POLRES HALMAHERA TIMUR
8207,82,POLRES PULAU MOROTAI
8208,82,POLRES PULAU TALIABU
8271,82,POLRES TERNATE
8272,82,POLRES TIDORE KEPULAUAN
9101,91,POLRES FAKFAK
9102,91,POLRES KAIMANA
9103,91,POLRES TELUK WONDAMA
9104,91,POLRES TELUK BINTUNI
9105,91,POLRES MANOKWARI
9106,91,POLRES SORONG SELATAN
9107,91,POLRES SORONG
9108,91,POLRES RAJA AMPAT
9109,91,POLRES TAMBRAUW
9110,91,POLRES MAYBRAT
9111,91,POLRES MANOKWARI SELATAN
9112,91,POLRES PEGUNUNGAN ARFAK
9171,91,POLRES SORONG
9401,94,POLRES MERAUKE
9402,94,POLRES JAYAWIJAYA
9403,94,POLRES JAYAPURA
9404,94,POLRES NABIRE
9408,94,POLRES KEPULAUAN YAPEN
9409,94,POLRES BIAK NUMFOR
9410,94,POLRES PANIAI
9411,94,POLRES PUNCAK JAYA
9412,94,POLRES MIMIKA
9413,94,POLRES BOVEN DIGOEL
9414,94,POLRES MAPPI
9415,94,POLRES ASMAT
9416,94,POLRES YAHUKIMO
9417,94,POLRES PEGUNUNGAN BINTANG
9418,94,POLRES TOLIKARA
9419,94,POLRES SARMI
9420,94,POLRES KEEROM
9426,94,POLRES WAROPEN
9427,94,POLRES SUPIORI
9428,94,POLRES MAMBERAMO RAYA
9429,94,POLRES NDUGA
9430,94,POLRES LANNY JAYA
9431,94,POLRES MAMBERAMO TENGAH
9432,94,POLRES YALIMO
9433,94,POLRES PUNCAK
9434,94,POLRES DOGIYAI
9435,94,POLRES INTAN JAYA
9436,94,POLRES DEIYAI
9471,94,POLRES JAYAPURA
